Date,interview length,Questions rating,Responses rating,practice,game
"October 11, 2020",9,0.6666666666666666,0.7777777777777778,0,1
"October 9, 2020",8,0.25,0.25,0,1
"October 8, 2020",10,0.6,0.8,1,0
"October 6, 2020",11,0.7272727272727273,0.9090909090909092,0,1
"October 5, 2020",9,0.2222222222222222,0.7777777777777778,1,0
"October 4, 2020",9,-0.1111111111111111,0.4444444444444444,0,1
"October 2, 2020",6,0.6666666666666666,0.6666666666666666,0,1
"September 30, 2020",8,0.375,0.5,1,0
"September 29, 2020",12,0.25,0.8333333333333334,0,1
"June 8, 2018",14,0.5714285714285714,0.2857142857142857,1,0
"June 7, 2018",16,0.0625,0.375,0,1
"June 6, 2018",11,0.2727272727272727,0.4545454545454545,1,0
"June 5, 2018",16,0.25,0.3125,0,1
"June 3, 2018",9,0.2222222222222222,0.6666666666666666,1,0
"June 2, 2018",16,0.375,0.6875,0,1
"May 31, 2018",16,-0.125,0.25,1,0
"May 30, 2018",11,0.0,0.3636363636363636,0,1
"June 12, 2017",11,0.0,0.3636363636363636,1,0
"June 11, 2017",17,0.2352941176470588,0.7647058823529411,0,1
"June 9, 2017",18,0.7222222222222222,0.6666666666666666,1,0
"June 8, 2017",12,0.5833333333333334,0.6666666666666666,0,1
"June 7, 2017",12,0.1666666666666666,0.5,1,0
"June 6, 2017",14,-0.2142857142857142,0.7857142857142857,0,1
"June 3, 2017",20,0.35,0.631578947368421,1,0
"June 1, 2017",11,0.0,0.4545454545454545,1,0
"May 31, 2017",9,0.3333333333333333,0.7777777777777778,0,1
"June 19, 2016",12,0.5833333333333334,0.9166666666666666,1,0
"June 18, 2016",20,0.45,0.8,0,1
"June 16, 2016",23,0.6956521739130435,0.7391304347826086,1,0
"June 15, 2016",16,0.4375,0.8125,0,1
"June 13, 2016",18,0.3333333333333333,0.7777777777777778,1,0
"June 12, 2016",18,-0.1666666666666666,0.4444444444444444,0,1
"June 10, 2016",18,0.0555555555555555,0.3888888888888889,1,0
"June 9, 2016",14,0.5,0.7142857142857143,0,1
"June 8, 2016",16,0.625,0.8125,1,0
"June 7, 2016",15,0.5333333333333333,0.6,0,1
"June 5, 2016",9,0.0,0.2222222222222222,1,0
"June 4, 2016",10,0.5,0.5,0,1
"June 3, 2016",17,0.0,0.5882352941176471,1,0
"June 2, 2016",9,0.0,0.1111111111111111,1,0
"June 1, 2016",15,0.0,0.5333333333333333,0,1
"June 16, 2015",12,-0.0833333333333333,0.1666666666666666,1,0
"June 14, 2015",16,0.1875,0.5625,0,1
"June 13, 2015",10,0.1,0.6,0,1
"June 11, 2015",17,0.0588235294117647,0.3529411764705882,1,0
"June 10, 2015",9,0.3333333333333333,0.7777777777777778,0,1
"June 9, 2015",12,0.5,0.75,1,0
"June 7, 2015",14,0.5,0.9285714285714286,0,1
"June 6, 2015",10,0.2,0.7,0,1
"June 5, 2015",12,0.0833333333333333,0.5833333333333334,1,0
"June 4, 2015",10,0.2,0.5,1,0
"June 3, 2015",13,0.3076923076923077,0.6153846153846154,0,1
"June 15, 2014",14,0.2142857142857142,0.4285714285714285,1,0
"June 14, 2014",18,0.5,0.3888888888888889,0,1
"June 12, 2014",18,0.1111111111111111,0.2777777777777778,1,0
"June 11, 2014",21,0.1904761904761904,0.4761904761904761,0,1
"June 10, 2014",12,-0.25,0.4166666666666667,1,0
"June 8, 2014",19,0.4210526315789473,0.7894736842105263,0,1
"June 7, 2014",15,0.2,0.8,0,1
"June 6, 2014",16,0.0,0.25,1,0
"June 5, 2014",7,0.0,0.0,1,0
"June 4, 2014",12,0.4166666666666667,0.6666666666666666,0,1
"June 20, 2013",11,0.5454545454545454,0.8181818181818182,1,0
"June 19, 2013",16,0.1875,0.625,0,1
"June 18, 2013",12,0.3333333333333333,0.9166666666666666,1,0
"June 16, 2013",13,0.3076923076923077,0.3846153846153846,0,1
"June 15, 2013",21,0.3809523809523809,0.5238095238095238,0,1
"June 13, 2013",10,0.2,0.9,1,0
"June 12, 2013",23,0.1739130434782608,0.5217391304347826,0,1
"June 9, 2013",13,0.5384615384615384,0.6923076923076923,1,0
"June 8, 2013",17,0.1176470588235294,0.7058823529411765,0,1
"June 7, 2013",13,0.3076923076923077,0.4615384615384615,1,0
"June 6, 2013",11,0.0909090909090909,0.4545454545454545,1,0
"June 21, 2012",10,0.7,1.0,0,1
"June 20, 2012",10,0.4,0.8,1,0
"June 19, 2012",13,0.3846153846153846,0.7692307692307693,0,1
"June 18, 2012",14,0.1428571428571428,0.7857142857142857,0,1
"June 17, 2012",14,0.2142857142857142,0.7142857142857143,1,0
"June 16, 2012",13,0.3846153846153846,0.8461538461538461,0,1
"June 14, 2012",13,0.5384615384615384,0.7692307692307693,1,0
"June 13, 2012",17,0.0,0.7058823529411765,0,1
"June 12, 2012",13,0.3846153846153846,0.4615384615384615,1,0
"June 11, 2012",10,0.1,0.3,0,1
"June 12, 2011",17,-0.1176470588235294,0.4705882352941176,1,0
"June 11, 2011",11,-0.0909090909090909,0.1818181818181818,0,1
"June 9, 2011",15,0.2,0.8,1,0
"June 8, 2011",16,0.0,0.5,0,1
"June 7, 2011",13,0.3076923076923077,0.3076923076923077,1,0
"June 6, 2011",10,0.1,0.8,0,1
"June 5, 2011",15,0.0666666666666666,0.6666666666666666,1,0
"June 4, 2011",10,0.2,0.5,0,1
"June 2, 2011",14,0.0714285714285714,0.5,1,0
"June 1, 2011",14,0.4285714285714285,0.7142857142857143,0,1
"May 31, 2011",18,0.3888888888888889,0.7777777777777778,1,0
"May 30, 2011",13,0.3076923076923077,0.5384615384615384,0,1
"June 14, 2007",11,0.3636363636363636,0.4545454545454545,1,0
"June 13, 2007",15,0.3333333333333333,0.8,0,1
"June 12, 2007",11,0.0,0.5454545454545454,1,0
"June 10, 2007",12,0.1666666666666666,0.5833333333333334,0,1
"June 9, 2007",18,0.0555555555555555,0.2777777777777778,1,0
"June 8, 2007",13,0.4615384615384615,0.3846153846153846,0,1
"June 7, 2007",13,-0.0769230769230769,0.6153846153846154,0,1
"June 6, 2007",17,0.1764705882352941,0.7058823529411765,1,0
